4.815,0.013539
7.378,0.017361
10.088,0.021485
13.208,0.026691
16.809,0.03275
21.058,0.038964
25.789,0.045837
31.125,0.05811
37.66,0.070267
45.747,0.095909
56.312,0.1418
73.078,0.19732
96.629,0.2753
130.92,0.34901
181.54,0.47285
248.12,0.60518
337.24,0.81025
456.67,1.0258
620.92,1.2786
865.87,1.8507
1125.3,2.2338
1505.3,2.8513
2005.7,3.7446
2655,4.8996
3552.7,6.1493
4669.7,7.9662
6213.6,10.264
8257.5,14.232
10861,18.196
14143,22.04
18504,28.526
24187,36.15
32301,48.776
41804,60.62
54388,81.331
71217,101.06
NaN,NaN
NaN,NaN
NaN,NaN
